company_name,company_number
SEFTON AUTOMATICS LIMITED,936729
MACE-GEDEN (TURF ACCOUNTANTS) LIMITED,1038701
WILLIAM T. CORBETT (COURSE) LIMITED,1161893
ROY CHRISTIE (RACECOURSE) LIMITED,1235833
SUN VALLEY LEISURE,1336670
BOLTON WANDERERS DEVELOPMENT ASSOCIATION (CHORLEY) LIMITED,1423297
SUN VALLEY SOCIAL CLUBS,1590875
T C PROJECTS LIMITED,2479222
SUMMIT LEISURE (SWINTON) LIMITED,2581185
SUMMIT LEISURE (NORTHUMBERLAND) LIMITED,2581182
GAVIN READER LIMITED,2709453
FIESTA LEISURE LTD.,2710152
GREENHILL RACING LIMITED,2715703
49’S (1996) LIMITED,3285628
ST MICHAEL'S HOSPICE LOTTERY LIMITED,3351501
EDENPACE LIMITED,1740165
7L LIMITED,1808040
BELLCOIN HOLDINGS LIMITED,1887355
PICCADILLY,2174567
SOUTHERN AMUSEMENTS,2174566
H. BACKHOUSE (BAKER STREET) LIMITED,540577
TIR PRINCE RACEWAY LIMITED,2287227
C. PATRICK EVANS ENTERTAINMENTS LIMITED,887421
MEDIA SOURCE PLUS LTD,6500520
JOE JENNINGS BOOKMAKERS LIMITED,5788101
SEC FUNDRAISING LTD,8883149
IVOR PERRY LIMITED,3910265
TERMINATOR LTD,5090119
SECOND CITY LEISURE LIMITED,8451713
AMUSETIME LIMITED,9426256
SP RACING LIMITED,9509082
NEWTOWN RACING LIMITED,7216045
SPENCER CRAIG LIMITED,7976609
LINKCO LIMITED,3669217
JOHN HUGHES (BOOKMAKERS) LIMITED,3683430
MULVANEY BOOKMAKERS LIMITED,3686647
WILLOW WOOD HOSPICE PROMOTIONS LIMITED,2913564
MERSEYSIDE ENTERTAINMENTS LIMITED,369130
INSPIRED GAMING (GREECE) LIMITED,9219329
BETTER VALUE INTERNATIONAL LTD,14609700
KINGSBRIDGE AUTOMATICS LIMITED,4484761
THE STUDENT LOTTO LTD,14838196
A CASH LIMITED,10657946
REEL FRUITS LIMITED,8181082
SP GRAHAM D1 LTD,NI623822
JPM INTERACTIVE LTD,5411422
ESSEX & HERTS FLIGHT FOR LIFE LOTTERY OPERATIONS LTD,11995048
PALATIAL LEISURE LIMITED,2794499
PICK10 LTD,6230435
BOXERTRICKS GAMING LTD,14294897
WILD WINZ LTD,15723080
BUNNY RACING  LTD,6349647
BETLOGICS LIMITED,8070070
CASINO PALACE LTD,NI050551
POTSOFGOLDAMUSEMENTS LIMITED,12921396
ADELPHI EVENTS MANAGEMENT LTD,8061481
DOUBLE DIAMOND GAMING LIMITED,6896085
THOMAS & MIGUEL GAMING LIMITED,10910037
A B BET LTD,5636802
BALLS OF THUNDER COMPETITIONS LTD,SC769737
GH NEWRY LTD,NI612944
THE REDHOLME GROUP LIMITED,SC700231
RACING INVESTMENTS LIMITED,10169865
LUCKY LOTTERIES LIMITED,9582547
E.L.M LEISURE ENTERPRISES LTD,14685246
ASPINALL'S CLUB LIMITED,2495259
DEVICEGUIDE LIMITED,4180101
THE A & S LEISURE GROUP LIMITED,939109
FANTASY SPORTS ARENA LTD,15759140
GEORGE SIMMONS RACING LTD,5616199
